Unnamed: 0,Code,deaths,X2018.people.per.sq..km,Mean_ann_earnings,median_age_2018,Name,lat,lon
1,E06000001,20,997,"25,985",41.8,Hartlepool,54.6857276,-1.2093696
2,E06000002,60,"2,608","22,878",36.2,Middlesbrough,54.5760419,-1.2344047
3,E06000003,26,558,"23,236",45.0,Redcar and Cleveland,54.5679056,-1.0054963
4,E06000004,26,962,"26,622",40.4,Stockton-on-Tees,54.564094,-1.3129164
5,E06000005,14,540,"26,908",43.1,Darlington,54.5242081,-1.5555812
6,E06000006,28,"1,624","26,328",41.0,Halton,53.3538525,-2.7427829
7,E06000007,41,"1,160","29,842",42.2,Warrington,53.4018582,-2.5680224
8,E06000008,18,"1,087","22,198",36.3,Blackburn with Darwen,53.699177,-2.4709001
9,E06000009,20,"3,997","21,181",43.5,Blackpool,53.8245483,-3.03732
10,E06000010,21,"3,648","20,562",35.6,"Kingston upon Hull, City of",53.7435722,-0.3394758
11,E06000011,38,141,x,48.8,East Riding of Yorkshire,53.8735965,-0.5347788
12,E06000012,13,833,"24,119",42.4,North East Lincolnshire,53.5368033,-0.093681
13,E06000013,9,203,"25,417",44.1,North Lincolnshire,53.5897441,-0.602323
14,E06000014,27,772,"25,786",37.6,York,53.9590555,-1.0815361
15,E06000015,98,"3,296","28,529",36.9,Derby,52.9212617,-1.4761491
16,E06000016,65,"4,843","20,734",31.6,Leicester,52.6361398,-1.1330789
17,E06000017,2,104,"24,740",47.0,Rutland,52.6423036,-0.6632643
18,E06000018,49,"4,437","22,898",29.7,Nottingham,52.9534193,-1.1496461
19,E06000019,18,88,"24,950",47.0,"Herefordshire, County of",52.083333,-2.75
20,E06000020,20,612,"23,856",39.4,Telford and Wrekin,52.7214452,-2.5008624
21,E06000021,31,"2,738","24,502",37.7,Stoke-on-Trent,53.0162014,-2.1812607
22,E06000022,34,555,"30,783",38.2,Bath and North East Somerset,51.3563238,-2.4866614
23,E06000023,62,"4,224","28,065",32.5,"Bristol, City of",51.4538022,-2.5972985
24,E06000024,19,572,"29,897",45.9,North Somerset,51.3966305,-2.7691289
25,E06000025,52,569,"27,813",40.7,South Gloucestershire,51.5491916,-2.4809528
26,E06000026,21,"3,296","25,021",38.3,Plymouth,50.3712659,-4.1425658
