"pollutants","Estimate","Std","z","p","OR","upper","lower","significance"
"pm25",-0.059873779580281,0.0285720068084419,-2.09553987515468,0.0361230276255548,0.941883411001175,0.96918305588419,0.915352733968159,"p-value<0.05"
"pm10",-0.0466939033404993,0.0182663723476515,-2.55627677197234,0.0105798929722315,0.954379485256894,0.971972729492601,0.937104688476908,"p-value<0.05"
"no2",0.0305832821545269,0.00926300014165836,3.30166055131373,0.00096114310511695,1.03105575501794,1.04065079544617,1.02154918307617,"p-value<0.05"
"nox",0.0176462950388642,0.00538847115373468,3.27482407076333,0.00105727794449415,1.01780291077605,1.02330211524722,1.01233325891634,"p-value<0.05"
"o3",-0.042278493944128,0.0114689219546003,-3.68635292065699,0.000227490818267973,0.958602778326368,0.969660205959687,0.947671443013961,"p-value<0.05"
"pm25_5yAvg",0.0053783281919035,0.0175733519581249,0.306050217665894,0.759566410834311,1.00539281736317,1.02321709665609,0.987879034184263,"p-value>0.05"
"pm10_5yAvg",0.000378954432502841,0.0123831583426469,0.0306024054620818,0.975586623768356,1.0003790262448,1.01284389607531,0.988067559105965,"p-value>0.05"
"no2_5yAvg",0.0254820177204365,0.00635339345238574,4.01077281163311,6.05203250595705e-05,1.02580945971211,1.03234757844429,1.01931274854211,"p-value<0.05"
"nox_5yAvg",0.0155655567779245,0.00377653315034042,4.12165236164321,3.76164556504941e-05,1.01568733106461,1.0195303600364,1.01185878804856,"p-value<0.05"
"o3_5yAvg",-0.183358571805349,0.0376341609782486,-4.87213125094843,1.10400783001814e-06,0.832469602085711,0.864395888510459,0.801722506559975,"p-value<0.05"
