"Code","deaths","X2018.people.per.sq..km","Mean_ann_earnings","median_age_2018","pm25_5yAvg","no2_5yAvg","o3_5yAvg","pm10_5yAvg","nox_5yAvg","cases","earnings_5ya.x","pop_dens_5ya","age_5ya.x","earnings_5ya.y","age_5ya.y","earnings_5ya","age_5ya","april_cases","april_deaths","pm25_val","no2_val","o3_val","pm10_val","nox_val"
"E06000001",20,997,25985,41.8,7.6179115,14.359226,2.8111393,11.625292,20.20684,79,24887.4,992,41.8,24887.4,41.8,24887.4,41.8,225,63,7.3628211,13.105737,5.303858,11.506778,17.730895
"E06000002",60,2608,22878,36.2,8.3422855,20.537653,2.2409465,12.522083,30.628742,272,21543.4,2601,36.4,21543.4,36.4,21543.4,36.4,500,142,8.2105405,20.178191,4.2518016,12.561928,29.296034
"E06000003",26,558,23236,45,7.7480735,8.4406127,3.7957471,12.845976,11.2736131,158,22960.2,555,44.7,22960.2,44.7,22960.2,44.7,294,69,7.2931372,7.749542,6.8514997,12.855827,9.9832409
"E06000004",26,962,26622,40.4,8.0381799,16.408541,2.6702927,12.169144,23.435384,199,24847.8,957,40.3,24847.8,40.3,24847.8,40.3,324,60,7.9008561,15.562038,5.0506318,12.25113,21.440737
"E06000005",14,540,26908,43.1,7.3687136,12.552449,2.7638065,11.199637,17.361185,125,25761.8,539,42.6,25761.8,42.6,25761.8,42.6,252,51,7.1532211,11.3603409,5.1988114,11.129635,15.098272
"E06000006",28,1624,26328,41,9.2717799,18.1869,1.888169,13.474783,26.51771,199,25255.6,1614,40.8,25255.6,40.8,25255.6,40.8,327,80,9.2573432,15.611062,4.3935691,13.269754,21.642167
"E06000007",41,1160,29842,42.2,8.9828525,18.181892,1.734613,13.09167,26.436852,336,28355,1156,41.7,28355,41.7,28355,41.7,694,152,8.5694032,17.232627,3.7784428,12.433627,24.256562
"E06000008",18,1087,22198,36.3,8.01833,13.6235929,2.0643815,11.889377,19.114973,158,21399,1084,36,21399,36,21399,36,291,59,7.6509851,12.3690162,4.2431712,11.3740139,16.653894
"E06000009",20,3997,21181,43.5,8.327269,12.1277659,2.3671485,11.749527,16.666887,149,20022.2,4013,43.4,20022.2,43.4,20022.2,43.4,399,75,7.3088457,10.6894658,4.8719872,10.5498611,14.089256
"E06000010",21,3648,20562,35.6,10.4394511,21.723093,2.2726851,15.850196,33.243922,123,20224,3626,35.8,20224,35.8,20224,35.8,391,77,10.1334295,18.906544,4.8822638,15.584662,27.329206
