"pollutants","Estimate","Std","z","p","OR","upper","lower","significance"
"pm25",0.12001727377472,0.0398813797741784,3.00935610689243,0.00261802058853754,1.1275163278742,1.17339194585613,1.0834342898914,"p-value<0.05"
"pm10",0.0755107101730235,0.0284038696397504,2.65846559397486,0.00784973651732476,1.07843477787926,1.10950567668502,1.04823399697636,"p-value<0.05"
"no2",0.0493851244578315,0.0153112997574726,3.22540380242569,0.00125795103050336,1.050624894178,1.06683510991475,1.03466098744606,"p-value<0.05"
"nox",0.0244660319806645,0.00874809908016186,2.79672552362219,0.00516233685282653,1.02476778118418,1.03377187821162,1.01584210935382,"p-value<0.05"
"o3",0.0120241295572889,0.0210123658872962,0.572240633053058,0.567158963114178,1.01209671001699,1.03358825981605,0.991052037113421,"p-value>0.05"
"pm25_5yAvg",0.119639296478603,0.0435457407877993,2.74743968788157,0.0060062554487064,1.12709023283346,1.17725450549138,1.07906352196831,"p-value<0.05"
"pm10_5yAvg",0.0766647918101613,0.0302515620404252,2.53424242053068,0.0112690741574432,1.07968009811565,1.1128411657077,1.0475071826856,"p-value<0.05"
"no2_5yAvg",0.0441781714441959,0.0140657673908531,3.14082909354272,0.00168470312653993,1.04516855749127,1.05997353288417,1.03057036772989,"p-value<0.05"
"nox_5yAvg",0.021128676332427,0.00766359321610266,2.75701955161603,0.00583308636227278,1.02135346720058,1.02921077384866,1.01355614561031,"p-value<0.05"
"o3_5yAvg",-0.0190805953213825,0.0790245791365014,-0.241451400689196,0.809205278901328,0.981100286963364,1.06177706817895,0.906553552461326,"p-value>0.05"
