"pollutants","Estimate","Std","z","p","OR","upper","lower","significance"
"pm25",0.0627916621255231,0.0348291473611799,1.80284809944874,0.0714120738112732,1.06480497691532,1.10254463136885,1.02835713548936,"p-value>0.05"
"pm10",0.0408259800891612,0.0240305659032293,1.69891879590213,0.0893344849917937,1.04167081830922,1.06700594712542,1.01693725010649,"p-value>0.05"
"no2",0.0217708808698327,0.00980865499060636,2.21955822594254,0.026448770621011,1.02200959569331,1.03208345997731,1.01203405944725,"p-value<0.05"
"nox",0.0106501971146932,0.00536503731646255,1.98511147015011,0.0471320709293281,1.01070711233731,1.01614416566651,1.00529915089281,"p-value<0.05"
"o3",-0.0350836463481622,0.0238129748112352,-1.47329960352578,0.140670267564465,0.965524650268668,0.988792604537132,0.942804230127538,"p-value>0.05"
"pm25_5yAvg",0.0685091222439696,0.0383968564252407,1.78423778981381,0.0743850341353657,1.07091039401231,1.11282961983866,1.0305702252694,"p-value>0.05"
"pm10_5yAvg",0.0433905870167196,0.0264038051117989,1.64334598111884,0.100311369835653,1.04434572307962,1.07228768779829,1.01713187769052,"p-value>0.05"
"no2_5yAvg",0.0217512029735248,0.0093414994104021,2.3284487872797,0.0198882856273491,1.02198948489233,1.03158112948401,1.01248702344228,"p-value<0.05"
"nox_5yAvg",0.0103432464376811,0.00486814358411421,2.12467982075002,0.033613338374698,1.01039692271381,1.01532767207071,1.00549011862098,"p-value<0.05"
"o3_5yAvg",-0.10628676168723,0.0830521221098263,-1.27975973385338,0.200629649271995,0.899166764523634,0.977033206216919,0.827506030787248,"p-value>0.05"
