"pollutants","Estimate","Std","z","p","OR","upper","lower","significance"
"pm25",-0.100925574311112,0.0230911107678932,-4.37075441392115,1.23817993073331e-05,0.904000311228133,0.925117554551143,0.883365101743277,"p-value<0.05"
"pm10",-0.0836865824697424,0.0165578623793586,-5.05419000064091,4.32221165443599e-07,0.919719467131488,0.935074830673162,0.904616262221148,"p-value<0.05"
"no2",-0.006480949130736,0.00699566525140066,-0.926423563425708,0.354225903184369,0.993540006923934,1.00051484860974,0.986613788620991,"p-value>0.05"
"nox",-0.0052015848018056,0.00410688982785342,-1.26655084987375,0.205315936319585,0.99481192001479,0.998905903986011,0.990734715106232,"p-value>0.05"
"o3",-0.100395592816088,0.0149220989693355,-6.72798062942745,1.72033816570988e-11,0.904479541644988,0.918077477433962,0.891083009182277,"p-value<0.05"
"pm25_5yAvg",-0.103100381354134,0.0251332195888051,-4.10215575405456,4.09318575391053e-05,0.902036421299269,0.924994801241164,0.879647868570294,"p-value<0.05"
"pm10_5yAvg",-0.0799998086219452,0.0177846345723829,-4.49825428216409,6.85137219917839e-06,0.923116523050863,0.939680670140892,0.906844359160595,"p-value<0.05"
"no2_5yAvg",-0.00255391141155925,0.00652134554514058,-0.391623384143831,0.6953365072599,0.997449347045662,1.00397531481897,0.990965798896373,"p-value>0.05"
"nox_5yAvg",-0.0028379542433881,0.00362694002467986,-0.782465170109505,0.433941246858389,0.997166068941984,1.00078929711245,0.993555958200348,"p-value>0.05"
"o3_5yAvg",-0.255203438506219,0.0510608024288742,-4.9980303161453,5.79188809491754e-07,0.774758866141026,0.815346065128361,0.736192061673382,"p-value<0.05"
