"pollutants","Estimate","Std","z","p","OR","upper","lower","significance"
"pm25",0.0679140424278082,0.0330869584527799,2.05259248971863,0.0401121165504485,1.07027330642969,1.10627774901479,1.03544064903779,"p-value<0.05"
"pm10",0.0371589590180414,0.0227402763004247,1.6340592579936,0.102246408533321,1.03785798461267,1.06172955631441,1.01452313333292,"p-value>0.05"
"no2",0.0214882265686228,0.0100704631994843,2.1337873087827,0.0328601952457159,1.0217207611073,1.03206194529446,1.01148319481913,"p-value<0.05"
"nox",0.0108831625484896,0.00559534618225105,1.94503828610497,0.051770370530707,1.01094259958731,1.01661502820398,1.00530182154192,"p-value>0.05"
"o3",-0.00644400575891713,0.022222051486406,-0.289982487119119,0.771829635500489,0.993576712319833,1.01590317633023,0.971740916127813,"p-value>0.05"
"pm25_5yAvg",0.0693632336307281,0.0361060858100202,1.92109535206052,0.0547196874819497,1.07182546150318,1.1112320107803,1.03381634868476,"p-value>0.05"
"pm10_5yAvg",0.0406688397929205,0.0247768523129287,1.64140461747432,0.100713452024148,1.0415071427086,1.0676347547438,1.01601893671335,"p-value>0.05"
"no2_5yAvg",0.0211480628789716,0.00955983001851197,2.21217980215336,0.0269542438558808,1.02137326790905,1.03118424364696,1.01165563654244,"p-value<0.05"
"nox_5yAvg",0.0102433580843527,0.00507725219094121,2.01750035238131,0.0436433242923835,1.01029600086954,1.01543857247261,1.00517947322757,"p-value<0.05"
"o3_5yAvg",-0.0691986883815983,0.0774008858618292,-0.894029669183982,0.371306017097903,0.933141257331917,1.00823592765944,0.863639731780227,"p-value>0.05"
