"pollutants","Estimate","Std","z","p","OR","upper","lower","significance"
"pm25",0.0845312485133019,0.037401026168193,2.26013179780586,0.0238130721740842,1.08820684854689,1.12967759141482,1.04825850687298,"p-value<0.05"
"pm10",0.0481628608939563,0.0261527282966488,1.84159986475017,0.0655337008525718,1.04934153810999,1.07714668771316,1.02225414250753,"p-value>0.05"
"no2",0.0303796597974672,0.0120345850937634,2.52436287256888,0.0115908215349104,1.03084583038824,1.04332658195277,1.01851437930383,"p-value<0.05"
"nox",0.0161127250491055,0.00690109398386938,2.33480736340751,0.0195534863659999,1.01624323501824,1.02328068019897,1.00925418871342,"p-value<0.05"
"o3",-0.00375853953231685,0.024786659632265,-0.151635580916451,0.879474368382887,0.996248514936457,1.02125076890745,0.971858365967152,"p-value>0.05"
"pm25_5yAvg",0.0828064656984999,0.040683712978277,2.03537139647786,0.0418135171718257,1.08633154578545,1.13143889226044,1.04302250474254,"p-value<0.05"
"pm10_5yAvg",0.0494300018671177,0.0282674890392193,1.74865202206453,0.080351188064166,1.05067204455936,1.0807956586972,1.02138802680723,"p-value>0.05"
"no2_5yAvg",0.0282641441900234,0.0113173377667502,2.49741986786524,0.0125100735600181,1.02866736504636,1.04037526724392,1.01709121816651,"p-value<0.05"
"nox_5yAvg",0.0142791883213534,0.00618507430147609,2.30865267341181,0.0209628625222412,1.01438162291113,1.0206750913407,1.00812695992044,"p-value<0.05"
"o3_5yAvg",-0.0668189696925595,0.0875396839430272,-0.763299188240693,0.445284986098502,0.935364515336612,1.02093687869562,0.856964612414336,"p-value>0.05"
