"Code","deaths","X2018.people.per.sq..km","Mean_ann_earnings","median_age_2018","pm25_5yAvg","no2_5yAvg","o3_5yAvg","pm10_5yAvg","nox_5yAvg","cases","earnings_5ya.x","pop_dens_5ya","age_5ya.x","earnings_5ya.y","age_5ya.y","earnings_5ya","age_5ya"
"E06000001",20,997,25985,41.8,7.6179115,14.359226,2.8111393,11.625292,20.20684,79,24887.4,992,41.8,24887.4,41.8,24887.4,41.8
"E06000002",60,2608,22878,36.2,8.3422855,20.537653,2.2409465,12.522083,30.628742,272,21543.4,2601,36.4,21543.4,36.4,21543.4,36.4
"E06000003",26,558,23236,45,7.7480735,8.4406127,3.7957471,12.845976,11.2736131,158,22960.2,555,44.7,22960.2,44.7,22960.2,44.7
"E06000004",26,962,26622,40.4,8.0381799,16.408541,2.6702927,12.169144,23.435384,199,24847.8,957,40.3,24847.8,40.3,24847.8,40.3
"E06000005",14,540,26908,43.1,7.3687136,12.552449,2.7638065,11.199637,17.361185,125,25761.8,539,42.6,25761.8,42.6,25761.8,42.6
"E06000006",28,1624,26328,41,9.2717799,18.1869,1.888169,13.474783,26.51771,199,25255.6,1614,40.8,25255.6,40.8,25255.6,40.8
"E06000007",41,1160,29842,42.2,8.9828525,18.181892,1.734613,13.09167,26.436852,336,28355,1156,41.7,28355,41.7,28355,41.7
"E06000008",18,1087,22198,36.3,8.01833,13.6235929,2.0643815,11.889377,19.114973,158,21399,1084,36,21399,36,21399,36
"E06000009",20,3997,21181,43.5,8.327269,12.1277659,2.3671485,11.749527,16.666887,149,20022.2,4013,43.4,20022.2,43.4,20022.2,43.4
"E06000010",21,3648,20562,35.6,10.4394511,21.723093,2.2726851,15.850196,33.243922,123,20224,3626,35.8,20224,35.8,20224,35.8
"E06000012",13,833,24119,42.4,9.5845867,14.123219,3.3394409,15.346355,20.00759,73,22755.8,830,42.2,22755.8,42.2,22755.8,42.2
"E06000013",9,203,25417,44.1,9.417597,13.473132,2.9525316,14.901643,19.052475,104,25715,202,43.7,25715,43.7,25715,43.7
"E06000014",27,772,25786,37.6,8.4994771,15.79808,2.7839461,12.794625,22.595381,126,25720,763,37.9,25720,37.9,25720,37.9
"E06000015",98,3296,28529,36.9,11.319608,23.654536,1.6736213,16.338931,36.757534,353,26950.4,3276,36.7,26950.4,36.7,26950.4,36.7
"E06000016",65,4843,20734,31.6,11.439728,25.634194,1.76392198,16.711135,40.799562,371,21017,4761,31.8,21017,31.8,21017,31.8
"E06000017",2,104,24740,47,9.1773209,8.7885813,3.4863005,14.105359,11.885162,10,27093,102,46.1,27093,46.1,27093,46.1
"E06000018",49,4437,22898,29.7,11.358995,26.225827,1.5512344,16.701681,42.113788,294,22435.2,4359,30.1,22435.2,30.1,22435.2,30.1
"E06000019",18,88,24950,47,8.6972089,6.3357757,3.9056395,13.816851,8.3222263,102,23989,87,46.4,23989,46.4,23989,46.4
"E06000020",20,612,23856,39.4,8.4282,9.204616,3.5940514,13.306339,12.423963,130,23612.4,602,39.3,23612.4,39.3,23612.4,39.3
"E06000021",31,2738,24502,37.7,9.5762874,20.184143,1.8476429,14.13583,29.960794,189,22669,2718,37.9,22669,37.9,22669,37.9
"E06000022",34,555,30783,38.2,8.5415668,7.3768917,3.383924,12.987733,9.7988672,124,29150.2,543,39.1,29150.2,39.1,29150.2,39.1
"E06000023",62,4224,28065,32.5,10.3732913,22.242587,2.0065333,15.395296,33.728871,324,26717.8,4157,32.9,26717.8,32.9,26717.8,32.9
"E06000024",19,572,29897,45.9,8.1887902,9.3774493,3.0408202,12.285081,12.674347,118,28927.4,567,45.5,28927.4,45.5,28927.4,45.5
