"","ons_code","area","personal.buses.Motorways","personal.buses.A.roads","personal.buses.Minor.roads","personal.diesel.cars.Motorways","personal.diesel.cars.A.roads","personal.diesel.cars.Minor.roads","personal.petrol.cars.Motorway","personal.petrol.cars.A.roads","personal.petrol.cars.Minor.roads","personal.motorcycles.Motorways","personal.motorcycles.A.roads","personal.motorcycles.Minor.roads","freight.HGV.Motorways","freight.HGV.A.roads","freight.HGV.Minor.roads","freight.diesel.LGV.Motorways","freight.diesel.LGV.A.roads","freight.diesel.LGV.Minor.roads","freight.petrol.LGV.Motorways","freight.petrol.LGV.A.roads","freight.petrol.LGV.Minor.roads"
"1","E06000001","Hartlepool",0,545,1627,0,7470,5526,0,8479,6810,0,50,78,0,5470,446,0,4405,2493,0,137,99
"2","E06000002","Middlesbrough",0,909,3776,0,13295,12563,0,16573,15706,0,84,176,0,8967,1018,0,7272,5693,0,248,227
"3","E06000003","Redcar and Cleveland",0,938,2473,0,10349,8236,0,11578,10048,0,114,119,0,5558,678,0,5289,3802,0,166,149
"4","E06000004","Stockton-on-Tees",0,1518,3389,0,20375,11383,0,24160,13982,0,141,162,0,14478,927,0,11586,5197,0,371,205
"5","E06000005","Darlington",89,695,1808,3232,6702,6224,2268,7488,7395,22,68,90,5160,3752,506,1955,3676,2845,56,116,110
"6","E06000006","Halton",120,481,443,5026,9109,6392,3552,11779,7945,23,97,102,6443,9285,538,2837,4772,2666,81,174,106
"7","E06000007","Warrington",742,933,808,33612,12574,12036,24286,15745,15049,198,148,185,47426,5434,980,18373,5666,4860,519,197,194
"8","E06000008","Blackburn with Darwen",63,630,407,3997,5017,5466,2888,6577,6665,27,55,94,3033,1773,492,2297,2308,2446,65,85,96
"9","E06000009","Blackpool",5,834,473,51,4339,6328,53,5983,7912,0,57,108,13,837,573,30,2128,2843,1,82,114
"10","E06000010","Kingston upon Hull, City of",0,1409,2325,0,8193,15397,0,11131,19250,0,175,325,0,9453,1890,0,4797,8719,0,178,348
"11","E06000011","East Riding of Yorkshire",225,1978,3261,11479,30902,25852,8054,32525,26922,86,492,515,27269,28875,2790,9276,19085,13075,266,571,470
"12","E06000012","North East Lincolnshire",0,617,1401,0,10111,9487,0,11879,11328,0,137,201,0,7687,1139,0,6547,5320,0,210,207
"13","E06000013","North Lincolnshire",123,756,1575,9462,11863,11001,6638,12798,11768,51,190,241,31135,18066,1311,8293,8474,6149,238,256,225
"14","E06000014","York",0,1933,1410,0,17514,10099,0,19320,11699,0,255,203,0,8679,1123,0,9005,5319,0,280,204
"15","E06000015","Derby",0,1701,2302,0,14744,21880,0,19595,27356,0,166,291,0,8530,2291,0,7267,8273,0,265,330
"16","E06000016","Leicester",0,1840,2088,0,13369,16961,0,17930,21205,0,144,264,0,5825,2079,0,6916,7506,0,258,300
"17","E06000017","Rutland",0,345,415,0,8969,3073,0,9296,3079,0,115,61,0,15944,451,0,5551,1607,0,165,56
"18","E06000018","Nottingham",6,3314,2454,198,15131,16246,143,20589,20312,1,194,310,335,6551,2443,121,7957,8821,3,300,352
"19","E06000019","Herefordshire, County of",45,1262,2253,1813,19697,13011,1272,21375,13053,6,271,216,3024,20101,1442,921,13902,7617,26,428,268
"20","E06000020","Telford and Wrekin",124,477,2490,3729,11560,14076,2668,13220,16899,30,111,214,3407,7490,1486,1881,5990,7966,53,191,310
"21","E06000021","Stoke-on-Trent",0,1915,1711,0,18043,10361,0,24084,12954,0,192,146,0,12783,1048,0,9493,5519,0,346,220
"22","E06000022","Bath and North East Somerset",0,1646,1201,0,11961,10960,0,13606,12569,0,272,238,0,5431,1086,0,6876,5372,0,224,204
"23","E06000023","Bristol, City of",417,3013,3018,8912,12295,27150,6440,16913,33945,115,358,575,7400,6904,2763,4101,7977,13494,116,309,539
"24","E06000024","North Somerset",759,896,2006,26264,10863,18181,18427,12054,21137,228,203,395,21547,3255,1819,13216,5390,8982,379,170,344
"25","E06000025","South Gloucestershire",1322,1182,2590,50324,15769,23276,35442,19033,27212,495,392,506,53228,8038,2307,23648,8933,11502,676,303,441
"26","E06000026","Plymouth",0,1632,2065,0,11434,17677,0,14987,22100,0,323,393,0,4592,1890,0,5854,9230,0,208,369
"27","E06000027","Torbay",0,937,982,0,5602,8444,0,7072,10557,0,136,187,0,1058,899,0,2943,4391,0,102,175
"28","E06000030","Swindon",535,839,2179,12238,13931,17590,8732,15326,21222,80,181,420,12015,8799,1974,4912,6589,9682,140,203,378
"29","E06000031","Peterborough",1,1071,1889,31,22163,17412,22,25317,20269,0,220,393,62,22251,1724,21,12450,9754,1,390,374
"30","E06000032","Luton",100,618,1140,2816,4618,10580,2034,6074,13228,17,35,227,4718,1357,1043,1556,1934,5817,44,72,232
"31","E06000033","Southend-on-Sea",0,655,877,0,5314,8938,0,7362,11175,0,77,175,0,1694,803,0,2992,4477,0,117,179
"32","E06000034","Thurrock",177,616,1137,7625,17262,10999,6456,18385,13302,126,425,230,16731,24187,1032,5197,13084,5795,146,383,227
"33","E06000035","Medway",145,1015,1180,5818,11980,12148,4168,14823,14402,69,212,243,6449,5240,1055,3853,6535,6676,109,221,259
"34","E06000036","Bracknell Forest",44,196,557,871,7784,6453,629,9470,7865,7,100,113,713,3137,500,342,3596,3135,10,123,123
"35","E06000037","West Berkshire",1460,909,915,40347,20509,11554,28307,22071,12246,273,246,203,36655,18587,855,16300,11721,5384,467,352,196
"36","E06000038","Reading",41,820,410,1247,5906,4598,901,8101,5748,10,96,82,991,2067,369,519,2918,2301,15,112,92
"37","E06000039","Slough",524,420,437,11873,3405,4891,8464,4427,6107,147,49,88,8006,1618,393,5002,1565,2450,142,57,98
"38","E06000040","Windsor and Maidenhead",750,444,795,20291,11933,9438,14278,13643,10973,214,165,165,13300,3350,715,8252,5254,4519,236,168,174
"39","E06000041","Wokingham",534,441,799,18665,8582,9463,13377,9913,11093,162,119,165,12604,2807,714,7415,3930,4513,210,128,174
"40","E06000042","Milton Keynes",569,722,1756,15548,17367,22970,10908,20663,27636,90,155,356,29276,8319,1557,9403,7550,9833,270,246,385
"41","E06000043","Brighton and Hove",0,1751,1463,0,14089,14511,0,16002,18140,0,313,293,0,4523,1317,0,9571,8206,0,301,328
"42","E06000044","Portsmouth",368,1097,997,10545,10198,9472,7620,12709,11843,146,219,200,5238,3103,898,4784,6036,5593,135,209,223
