Code,Name,Geography1,Area2 (sq km),Estimated Population mid-2018,2018 people per sq. km
E06000047,County Durham,Unitary Authority,"2,226","526,980",237
E06000005,Darlington,Unitary Authority,197,"106,566",540
E06000001,Hartlepool,Unitary Authority,94,"93,242",997
E06000002,Middlesbrough,Unitary Authority,54,"140,545","2,608"
E06000057,Northumberland,Unitary Authority,"5,014","320,274",64
E06000003,Redcar and Cleveland,Unitary Authority,245,"136,718",558
E06000004,Stockton-on-Tees,Unitary Authority,205,"197,213",962
E11000007,Tyne and Wear (Met County),Metropolitan County,540,"1,136,371","2,105"
E08000037,Gateshead,Metropolitan District,142,"202,508","1,423"
E08000021,Newcastle upon Tyne,Metropolitan District,113,"300,196","2,646"
E08000022,North Tyneside,Metropolitan District,82,"205,985","2,502"
E08000023,South Tyneside,Metropolitan District,64,"150,265","2,334"
E08000024,Sunderland,Metropolitan District,137,"277,417","2,018"
E12000002,NORTH WEST,Region,"14,107","7,292,093",517
E06000008,Blackburn with Darwen,Unitary Authority,137,"148,942","1,087"
E06000009,Blackpool,Unitary Authority,35,"139,305","3,997"
E06000049,Cheshire East,Unitary Authority,"1,166","380,790",326
E06000050,Cheshire West and Chester,Unitary Authority,917,"340,502",371
E06000006,Halton,Unitary Authority,79,"128,432","1,624"
E06000007,Warrington,Unitary Authority,181,"209,547","1,160"
E10000006,Cumbria,County,"6,767","498,888",74
E07000026,Allerdale,Non-metropolitan District,"1,242","97,527",79
E07000027,Barrow-in-Furness,Non-metropolitan District,78,"67,137",861
E07000028,Carlisle,Non-metropolitan District,"1,039","108,387",104
E07000029,Copeland,Non-metropolitan District,732,"68,424",94
E07000030,Eden,Non-metropolitan District,"2,142","52,881",25
E07000031,South Lakeland,Non-metropolitan District,"1,534","104,532",68
E11000001,Greater Manchester (Met County),Metropolitan County,"1,276","2,812,569","2,204"
E08000001,Bolton,Metropolitan District,140,"285,372","2,041"
E08000002,Bury,Metropolitan District,99,"190,108","1,911"
E08000003,Manchester,Metropolitan District,116,"547,627","4,735"
E08000004,Oldham,Metropolitan District,142,"235,623","1,655"
E08000005,Rochdale,Metropolitan District,158,"220,001","1,391"
E08000006,Salford,Metropolitan District,97,"254,408","2,617"
E08000007,Stockport,Metropolitan District,126,"291,775","2,315"
E08000008,Tameside,Metropolitan District,103,"225,197","2,183"
E08000009,Trafford,Metropolitan District,106,"236,370","2,229"
E08000010,Wigan,Metropolitan District,188,"326,088","1,733"
E10000017,Lancashire,County,"2,903","1,210,053",417
E07000117,Burnley,Non-metropolitan District,111,"88,527",800
E07000118,Chorley,Non-metropolitan District,203,"116,821",576
E07000119,Fylde,Non-metropolitan District,166,"79,770",481
E07000120,Hyndburn,Non-metropolitan District,73,"80,815","1,107"
E07000121,Lancaster,Non-metropolitan District,576,"144,246",250
E07000122,Pendle,Non-metropolitan District,169,"91,405",540
E07000123,Preston,Non-metropolitan District,142,"141,818",997
E07000124,Ribble Valley,Non-metropolitan District,583,"60,057",103
E07000125,Rossendale,Non-metropolitan District,138,"70,895",514
E07000126,South Ribble,Non-metropolitan District,113,"110,527",979
E07000127,West Lancashire,Non-metropolitan District,347,"113,949",329
E07000128,Wyre,Non-metropolitan District,282,"111,223",394
E11000002,Merseyside (Met County),Metropolitan County,647,"1,423,065","2,200"
E08000011,Knowsley,Metropolitan District,87,"149,571","1,729"
E08000012,Liverpool,Metropolitan District,112,"494,814","4,424"
E08000014,Sefton,Metropolitan District,155,"275,396","1,777"
E08000013,St. Helens,Metropolitan District,136,"180,049","1,320"
E08000015,Wirral,Metropolitan District,157,"323,235","2,058"
