Path,Category,FieldID,Field,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Coding,Notes,Link,my_colname
UK Biobank Assessment Centre > Recruitment > Reception,100024,20074,Home location at assessment - east co-ordinate (rounded),497874,544128,Complete,Integer,metre-grid,Data,Derived,Unisex,3,1,,"This location information is based on the postcode for the address to which the participants invitation was sent. If the participant updated their home address during their assessment centre visit, then that postcode was used as the source instead.   The location co-ordinates use the Ordnance Survey (OSGB) reference, rounded to the nearest Kilometre. This East co-ordinate needs to be used in conjunction with the North co-ordinate in ~F20075~.   For most purposes, grid co-ordinates rounded to a 1Km distance will provide sufficient information on location of residence at assessment. Research proposals that require location details to a finer level of granularity (i.e. 100m) should request ~F20033~ and ~F20034~, however special approval will be required to release the more detailed information.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20074,x_coord
UK Biobank Assessment Centre > Recruitment > Reception,100024,20075,Home location at assessment - north co-ordinate (rounded),497874,544128,Complete,Integer,metre-grid,Data,Derived,Unisex,3,1,,"This location information is based on the postcode for the address to which the participants invitation was sent. If the participant updated their home address during their assessment centre visit, then that postcode was used as the source instead.   The location co-ordinates use the Ordnance Survey (OSGB) reference, rounded to the nearest Kilometre. This North co-ordinate needs to be used in conjunction with the East co-ordinate in ~F20074~.   For most purposes, grid co-ordinates rounded to a 1Km distance will provide sufficient information on location of residence at assessment. Research proposals that require location details to a finer level of granularity (i.e. 100m) should request ~F20033~ and ~F20034~, however special approval will be required to release the more detailed information.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20075,y_coord
Population characteristics > Baseline characteristics,100094,189,Townsend deprivation index at recruitment,501883,501883,Complete,Continuous,,Data,Derived,Unisex,1,1,,Townsend deprivation index calculated immediately prior to participant joining UK Biobank. Based on the preceding national census output areas. Each participant is assigned a score corresponding to the output area in which their postcode is located.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=189,townsend
Population characteristics > Baseline characteristics,100094,34,Year of birth,502506,502506,Complete,Integer,years,Data,Primary,Unisex,1,1,,"Year of birth of participant. Acquired from central registry, updated by participant.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=34,birthYear
UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,48,Waist circumference,500408,569829,Complete,Continuous,cm,Data,Primary,Unisex,4,1,,Waist circumference,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=48,waist
UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,49,Hip circumference,500346,569767,Complete,Continuous,cm,Data,Primary,Unisex,4,1,,Hip circumference,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=49,hip
UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,50,Standing height,500043,569401,Complete,Continuous,cm,Data,Primary,Unisex,4,1,,Standing height was measured using a Seca 202 device,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=50,height
UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,4079,"Diastolic blood pressure, automated reading",475129,1050361,Complete,Integer,mmHg,Data,Primary,Unisex,4,2,,"Blood pressure, automated reading, diastolic. Two measures of blood pressure were taken a few moments apart.  Range returned by the Omron device is is 0-255",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4079,diaBP
UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,4080,"Systolic blood pressure, automated reading",475124,1050331,Complete,Integer,mmHg,Data,Primary,Unisex,4,2,,"Blood pressure, automated reading, systolic. Two measures of blood pressure were taken a few moments apart.   Range returned by the Omron device is is 0-255",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4080,sysBP
Online follow-up > Work environment > Employment history,130,22609,Workplace very dusty,119903,398587,Accruing,Categorical single,,Data,Primary,Unisex,1,40,493,"Participant asked ""Thinking about the place where you worked: Was it very dusty?""  Participants were allowed to skip answering this question.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22609,WP_dusty
